firstname,obs,pcthispanic,pctwhite,pctblack,pctapi,pctaian,pct2prace,tot_white,tot_black,tot_api,tot_aian,tot_2prace,tot_hispanic,white_pct,black_pct,api_pct,aian_pct,mult_pct,hisp_pct
ADNAN,66,0,0.66667,0.015149999999999999,0.015149999999999999,0.015149999999999999,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,2.006642551200749e-5,8.928761453212038e-6,2.2585549375192423e-4,2.2585549375192423e-4,0,0
ADOLFO,179,0.87151,0.10056,0.00559,0,0,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,8.209060662838905e-6,8.935101507849283e-6,0,0,0,8.517502576683063e-4
ADOLPH,44,0.11364,0.7272700000000001,0.15909,0,0,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,1.459363631393612e-5,6.250722374440059e-5,0,0,0,2.730051058483775e-5
ADRIA,40,0.1,0.9,0,0,0,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,1.641790242031221e-5,0,0,0,0,2.1839709597163088e-5
ADRIAN,865,0.36301,0.49249000000000004,0.11098000000000001,0.0034699999999999996,0.0034699999999999996,0.0034699999999999996,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,1.9428026777714778e-4,8.572262859856119e-4,6.779843557066589e-4,6.779843557066589e-4,7.265112930129969e-4,0.0017144371321123099
ADRIANA,489,0.62372,0.35991999999999996,0.00818,0.0020399999999999997,0.0020399999999999997,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,8.026570204802996e-5,3.571879626770399e-5,2.2532693904107366e-4,2.2532693904107366e-4,0,0.0016652728336504785
ADRIANE,58,0.06897,0.75862,0.15517,0,0,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,2.0066306938267785e-5,8.036563961626652e-5,0,0,0,2.1841129178286903e-005
ADRIANNA,30,0.43333,0.5,0.03333,0,0,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,6.840792675130087e-6,8.92876145321204e-6,0,0,0,7.09785101980401e-5
ADRIANNE,95,0.03158,0.8947400000000001,0.06316,0,0,0,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,3.876462864159067e-5,5.357971244280715e-5,0,0,0,1.6380328190612245e-5
ADRIENNE,644,0.02019,0.8338500000000001,0.12733,0.00155,0.00155,0.00155,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,2.4490010413795015e-4,7.322363057499177e-4,2.2547150101327214e-4,2.2547150101327214e-4,2.4160969255403828e-4,7.099194161944236e-5
AFSHIN,37,0,0.83784,0,0,0,0.02703,2192728.34485,111986.41662,4427.16705,4427.16705,4131.45677,183152.6185,1.4137674679496448e-5,0,0,0,2.4207199921881306e-4,0
